Id,Tipo,Intento,Nota,Tiempo,Aprobado,Distinguido,Duracion
895,C,1,55,7.286915467127983,TRUE,FALSE,0.2814154671286815
650,B,1,63,7.3167613158075255,TRUE,FALSE,0.311261315808224
921,B,1,66,7.435930651205126,TRUE,FALSE,0.4304306512058247
841,B,1,66,7.440486796476762,TRUE,FALSE,0.4349867964774603
64,B,1,59,7.453032130059,TRUE,FALSE,0.44753213005969883
1076,A,1,84,7.500737176153052,TRUE,TRUE,0.4952371761537506
222,A,1,85,7.5084569189930335,TRUE,TRUE,0.502956918993732
498,B,1,69,7.511386314447009,TRUE,FALSE,0.5058863144477073
112,B,1,64,7.514337277956656,TRUE,FALSE,0.5088372779573547
176,B,1,58,7.530424748456426,TRUE,FALSE,0.5249247484571242
678,A,1,83,7.547482122517977,TRUE,TRUE,0.5419821225186752
433,B,1,55,7.547905006496876,TRUE,FALSE,0.5424050064975745
674,B,1,63,7.550847817132308,TRUE,FALSE,0.5453478171330062
230,A,1,83,7.552747668229131,TRUE,TRUE,0.5472476682298293
378,A,1,80,7.5550904588271806,TRUE,TRUE,0.549590458827879
727,B,1,58,7.5681845997678465,TRUE,FALSE,0.562684599768545
677,B,1,68,7.573024970814004,TRUE,FALSE,0.5675249708147021
1002,B,1,67,7.573526460913854,TRUE,FALSE,0.5680264609145524
889,A,1,82,7.580626654282241,TRUE,TRUE,0.5751266542829399
613,B,1,55,7.584953107543697,TRUE,FALSE,0.5794531075443956
1048,B,1,61,7.595652671370772,TRUE,FALSE,0.5901526713714702
1190,A,1,82,7.599153130056948,TRUE,TRUE,0.5936531300576462
48,B,1,62,7.601017914748809,TRUE,FALSE,0.5955179147495073
891,B,1,66,7.603729656620999,TRUE,FALSE,0.5982296566216974
1104,B,1,63,7.612108004526817,TRUE,FALSE,0.6066080045275157
41,C,1,58,7.614999332006846,TRUE,FALSE,0.6094993320075446
1083,B,1,69,7.616752270831057,TRUE,FALSE,0.6112522708317556
549,B,1,67,7.619711305222154,TRUE,FALSE,0.6142113052228524
997,B,1,67,7.621515250069933,TRUE,FALSE,0.6160152500706317
724,B,1,60,7.62220298106331,TRUE,FALSE,0.6167029810640088
1045,B,1,63,7.622816180995869,TRUE,FALSE,0.6173161809965677
160,C,1,48,7.623257819948776,FALSE,FALSE,0.6177578199494747
673,B,1,63,7.624426450045576,TRUE,FALSE,0.6189264500462741
89,C,1,56,7.6278614078619285,TRUE,FALSE,0.622361407862627
491,B,1,71,7.6340838022915705,TRUE,FALSE,0.628583802292269
470,B,1,62,7.638513911784685,TRUE,FALSE,0.6330139117853832
603,C,1,58,7.638756901626039,TRUE,FALSE,0.6332569016267371
1171,B,1,65,7.63926434917812,TRUE,FALSE,0.6337643491788185
844,C,1,61,7.639638583379565,TRUE,FALSE,0.6341385833802633
1066,B,1,58,7.641050677673775,TRUE,FALSE,0.6355506776744733
229,C,1,51,7.641065983923909,FALSE,FALSE,0.6355659839246073
718,C,1,54,7.645034546934767,FALSE,FALSE,0.6395345469354652
250,C,1,50,7.645914334927511,FALSE,FALSE,0.6404143349282094
337,B,1,66,7.646271258803608,TRUE,FALSE,0.6407712588043069
1113,B,1,62,7.648119652236346,TRUE,FALSE,0.6426196522370446
539,A,1,86,7.648636256144528,TRUE,TRUE,0.6431362561452261
1019,B,1,68,7.650476202430582,TRUE,FALSE,0.6449762024312804
514,C,1,60,7.650650863030023,TRUE,FALSE,0.6451508630307217
966,B,1,55,7.655076285027462,TRUE,FALSE,0.6495762850281608
344,B,1,71,7.658090632954554,TRUE,FALSE,0.6525906329552527
1196,C,1,56,7.658358041764586,TRUE,FALSE,0.6528580417652847
871,C,1,54,7.6592077626082755,FALSE,FALSE,0.653707762608974
257,A,1,83,7.659525740862591,TRUE,TRUE,0.6540257408632897
688,A,1,83,7.666262541391916,TRUE,TRUE,0.6607625413926144
403,B,1,69,7.666570160199626,TRUE,FALSE,0.6610701602003246
957,A,1,86,7.674702767333656,TRUE,TRUE,0.6692027673343546
399,C,1,58,7.679045045722887,TRUE,FALSE,0.6735450457235856
191,A,1,78,7.682166114838765,TRUE,TRUE,0.6766661148394633
122,B,1,69,7.683634996687033,TRUE,FALSE,0.6781349966877315
205,B,1,67,7.684682756975235,TRUE,FALSE,0.6791827569759334
334,A,1,80,7.688592860620702,TRUE,TRUE,0.6830928606214002
465,C,1,55,7.69011587582645,TRUE,FALSE,0.6846158758271486
336,C,1,48,7.69294851905579,FALSE,FALSE,0.6874485190564883
463,A,1,82,7.693604519306973,TRUE,TRUE,0.6881045193076716
933,C,1,60,7.695159099534067,TRUE,FALSE,0.6896590995347651
657,A,1,81,7.695397880219389,TRUE,TRUE,0.6898978802200872
777,C,1,59,7.698661916125275,TRUE,FALSE,0.6931619161259732
220,B,1,66,7.698761167441262,TRUE,FALSE,0.6932611674419604
864,B,1,60,7.699858140153083,TRUE,FALSE,0.6943581401537813
299,C,1,50,7.700186122776358,FALSE,FALSE,0.6946861227770569
494,B,1,62,7.702152430127171,TRUE,FALSE,0.6966524301278696
528,C,1,49,7.703027810071944,FALSE,FALSE,0.6975278100726428
1064,C,1,52,7.703197676619311,FALSE,FALSE,0.6976976766200096
184,A,1,83,7.704446146894043,TRUE,TRUE,0.6989461468947411
1025,B,1,66,7.7045656064474315,TRUE,FALSE,0.69906560644813
789,B,1,63,7.706963925276796,TRUE,FALSE,0.7014639252774941
71,A,1,75,7.708411936451739,TRUE,FALSE,0.7029119364524377
967,A,1,84,7.708572042931337,TRUE,TRUE,0.7030720429320354
62,C,1,49,7.708795716291206,FALSE,FALSE,0.7032957162919047
320,C,1,60,7.709069780212303,TRUE,FALSE,0.7035697802130016
313,C,1,48,7.709720141745493,FALSE,FALSE,0.7042201417461911
1170,C,1,45,7.711894997970376,FALSE,FALSE,0.7063949979710742
1020,C,1,50,7.712519159784279,FALSE,FALSE,0.7070191597849771
386,B,1,60,7.712817775427538,TRUE,FALSE,0.7073177754282369
194,B,1,65,7.714706840186409,TRUE,FALSE,0.7092068401871074
702,B,1,69,7.717885397982172,TRUE,FALSE,0.7123853979828709
300,B,1,61,7.718246762826311,TRUE,FALSE,0.7127467628270097
260,B,1,64,7.720410509220528,TRUE,FALSE,0.7149105092212267
998,A,1,83,7.721829064710619,TRUE,TRUE,0.7163290647113172
1031,B,1,60,7.723674555996695,TRUE,FALSE,0.7181745559973933
543,C,1,48,7.723779560310504,FALSE,FALSE,0.7182795603112027
450,B,1,60,7.7238980517940945,TRUE,FALSE,0.718398051794793
623,B,1,68,7.724835357632401,TRUE,FALSE,0.7193353576330992
456,B,1,70,7.7252778610854875,TRUE,FALSE,0.719777861086186
468,B,1,70,7.726589840109227,TRUE,FALSE,0.7210898401099257
193,B,1,63,7.726609049950639,TRUE,FALSE,0.7211090499513375
969,C,1,55,7.7276502386630455,TRUE,FALSE,0.722150238663744
266,B,1,61,7.728940154214797,TRUE,FALSE,0.7234401542154956
856,B,1,69,7.731502747530612,TRUE,FALSE,0.7260027475313109
505,A,1,83,7.732617403744371,TRUE,TRUE,0.7271174037450692
934,B,1,55,7.732971135817934,TRUE,FALSE,0.7274711358186323
326,A,1,82,7.733707946179493,TRUE,TRUE,0.7282079461801914
256,B,1,62,7.7337735672954295,TRUE,FALSE,0.728273567296128
1138,B,1,63,7.734230649235542,TRUE,FALSE,0.7287306492362404
469,B,1,64,7.734651973365544,TRUE,FALSE,0.7291519733662426
